turn,stt_ttfb_ms,llm_ttfb_ms,tts_ttfb_ms,roundtrip_ms,user_turn_secs
1,506.0,982.0,206.0,1708.1,0.508
2,469.0,607.0,390.0,1758.1,0.472
3,485.0,580.0,348.0,1700.0,0.487
4,486.0,617.0,259.0,1479.9,0.489
5,502.0,589.0,352.0,1748.2,0.505
6,506.0,585.0,403.0,1764.3,0.51
7,465.0,584.0,334.0,1689.5,0.468
8,506.0,876.0,357.0,2033.1,0.508
9,510.0,955.0,330.0,2089.0,0.512
10,463.0,617.0,293.0,1499.0,0.467
11,481.0,618.0,386.0,1801.8,0.484
12,479.0,602.0,291.0,4369.5,3.199
13,480.0,884.0,209.0,4348.6,3.202
14,481.0,1025.0,295.0,1961.6,0.484
15,463.0,613.0,259.0,1440.8,0.466
16,484.0,575.0,265.0,1582.6,0.487
17,465.0,625.0,355.0,1720.3,0.469
18,478.0,653.0,342.0,1759.4,0.482
19,468.0,635.0,205.0,1414.3,0.471
20,473.0,602.0,198.0,1286.4,0.476
1,483.0,681.0,208.0,1307.7,0.638
2,523.0,982.0,423.0,2237.1,0.527
3,482.0,727.0,366.0,1833.9,0.484
4,485.0,678.0,323.0,1753.4,0.487
5,481.0,665.0,377.0,1792.7,0.484
6,484.0,655.0,358.0,1763.8,0.487
7,482.0,937.0,316.0,2001.9,0.484
8,482.0,748.0,316.0,1814.3,0.486
9,483.0,676.0,317.0,1745.6,0.485
10,515.0,707.0,282.0,1677.2,0.669
11,479.0,750.0,475.0,2013.4,0.482
12,498.0,737.0,376.0,1821.6,0.654
13,483.0,718.0,233.0,1463.5,0.486
14,522.0,706.0,290.0,1658.2,0.525
15,479.0,922.0,352.0,2044.3,0.481
16,482.0,733.0,365.0,1860.3,0.484
17,497.0,746.0,279.0,4327.1,3.202
18,517.0,764.0,308.0,1793.4,0.524
19,521.0,727.0,243.0,1570.7,0.524
20,529.0,755.0,215.0,1513.9,0.532
1,475.0,796.0,415.0,4052.1,0.478
2,381.0,1092.0,453.0,2213.7,0.397
3,492.0,676.0,349.0,1778.9,0.495
4,477.0,1054.0,315.0,2139.7,0.48
5,476.0,657.0,359.0,4481.4,3.2
6,474.0,713.0,342.0,1784.6,0.477
7,476.0,1056.0,357.0,2209.4,0.479
8,477.0,730.0,354.0,1873.7,0.48
9,477.0,1007.0,379.0,2167.7,0.483
10,498.0,708.0,394.0,1895.1,0.5
11,517.0,698.0,350.0,1706.4,0.67
12,518.0,711.0,326.0,1833.8,0.52
13,480.0,703.0,203.0,1419.9,0.483
14,514.0,703.0,661.0,2165.5,0.517
15,510.0,692.0,286.0,1573.8,0.514
16,494.0,698.0,276.0,1548.8,0.496
17,510.0,801.0,343.0,1824.0,0.665
18,489.0,701.0,283.0,1741.0,0.493
19,3553.0,730.0,205.0,4524.8,3.554
20,476.0,956.0,212.0,1748.2,0.478
